,date,btc_average
356,2020-02-07,9807.5
357,2020-02-06,9694.46
358,2020-02-05,9460.835
359,2020-02-04,9221.505000000001
360,2020-02-03,9426.395
361,2020-02-02,9298.515
362,2020-02-01,9372.765
363,2020-01-31,9370.115
364,2020-01-30,9391.220000000001
365,2020-01-29,9332.619999999999
366,2020-01-28,9131.2
367,2020-01-27,8767.5
368,2020-01-26,8455.895
369,2020-01-25,8353.08
370,2020-01-24,8383.01
371,2020-01-23,8499.099999999999
372,2020-01-22,8704.0
373,2020-01-21,8638.5
374,2020-01-20,8634.135
375,2020-01-19,8832.49
376,2020-01-18,8897.63
377,2020-01-17,8857.045
378,2020-01-16,8722.904999999999
379,2020-01-15,8740.24
380,2020-01-14,8492.77
381,2020-01-13,8125.945
382,2020-01-12,8078.5
383,2020-01-11,8144.75
384,2020-01-10,7935.5
385,2020-01-09,7902.98
386,2020-01-08,8162.5
387,2020-01-07,7965.695
388,2020-01-06,7571.05
389,2020-01-05,7406.5
390,2020-01-04,7338.105
391,2020-01-03,7138.02
392,2020-01-02,7068.62
393,2020-01-01,7215.075
394,2019-12-31,7232.505
395,2019-12-30,7314.12
396,2019-12-29,7408.225
397,2019-12-28,7301.84
398,2019-12-27,7176.139999999999
399,2019-12-26,7296.0599999999995
400,2019-12-25,7200.3150000000005
401,2019-12-24,7296.860000000001
402,2019-12-23,7480.610000000001
403,2019-12-22,7320.505
404,2019-12-21,7147.79
405,2019-12-20,7149.75
406,2019-12-19,7209.155000000001
407,2019-12-18,6937.5
408,2019-12-17,6751.105
409,2019-12-16,6993.0
410,2019-12-15,7104.325000000001
411,2019-12-14,7141.885
412,2019-12-13,7249.905000000001
413,2019-12-12,7187.65
414,2019-12-11,7200.58
415,2019-12-10,7282.35
416,2019-12-09,7461.5
417,2019-12-08,7469.43
418,2019-12-07,7544.889999999999
419,2019-12-06,7447.514999999999
420,2019-12-05,7317.5
421,2019-12-04,7408.5
422,2019-12-03,7320.675
423,2019-12-02,7285.83
424,2019-12-01,7375.925
425,2019-11-30,7625.5
426,2019-11-29,7606.15
427,2019-11-28,7501.5
428,2019-11-27,7247.5
429,2019-11-26,7178.74
430,2019-11-25,6946.344999999999
431,2019-11-24,7095.695
432,2019-11-23,7212.245
433,2019-11-22,7270.0
434,2019-11-21,7817.365
435,2019-11-20,8151.345
436,2019-11-19,8110.815
437,2019-11-18,8281.76
438,2019-11-17,8492.84
439,2019-11-16,8471.5
440,2019-11-15,8595.0
441,2019-11-14,8691.3
442,2019-11-13,8773.494999999999
443,2019-11-12,8727.8
444,2019-11-11,8845.5
445,2019-11-10,8948.595000000001
446,2019-11-09,8802.439999999999
447,2019-11-08,8978.5
448,2019-11-07,9238.0
449,2019-11-06,9345.46
450,2019-11-05,9315.355
451,2019-11-04,9314.76
452,2019-11-03,9214.355
453,2019-11-02,9279.974999999999
454,2019-11-01,9154.5
455,2019-10-31,9159.0
456,2019-10-30,9205.425
457,2019-10-29,9311.0
458,2019-10-28,9531.05
459,2019-10-27,9434.66
460,2019-10-26,9420.189999999999
461,2019-10-25,8080.0
462,2019-10-24,7420.835
463,2019-10-23,7673.795
464,2019-10-22,8148.995
465,2019-10-21,8237.515
466,2019-10-20,8083.5
467,2019-10-19,7982.51
468,2019-10-18,7965.505
469,2019-10-17,8026.975
470,2019-10-16,8049.08
471,2019-10-15,8246.5
472,2019-10-14,8295.925
473,2019-10-13,8305.685000000001
474,2019-10-12,8325.0
475,2019-10-11,8495.945
476,2019-10-10,8529.26
